Team,Matches Considered,Points,Goals Scored,Goals Conceded,Goal Difference,Wins,Draws,Losses,Form Score
Arsenal,5,8,4,2,2,2,2,1,9.0
Aston Villa,5,8,7,8,-1,2,2,1,7.5
Bournemouth,5,4,7,8,-1,1,1,3,3.5
Brentford,5,10,8,3,5,3,1,1,12.5
Brighton,5,13,13,4,9,4,1,0,17.5
Chelsea,5,6,6,6,0,2,0,3,6.0
Crystal Palace,5,12,10,3,7,4,0,1,15.5
Everton,5,7,7,6,1,1,4,0,7.5
Fulham,5,9,7,6,1,3,0,2,9.5
Ipswich,5,1,6,13,-7,0,1,4,-2.5
Leicester,5,0,0,12,-12,0,0,5,-6.0
Liverpool,5,13,11,4,7,4,1,0,16.5
Man City,5,7,7,5,2,2,1,2,8.0
Man United,5,8,9,6,3,2,2,1,9.5
Newcastle,5,6,6,11,-5,2,0,3,3.5
Nott'm Forest,5,7,9,8,1,2,1,2,7.5
Southampton,5,0,3,16,-13,0,0,5,-6.5
Tottenham,5,7,7,6,1,2,1,2,7.5
West Ham,5,7,4,3,1,2,1,2,7.5
Wolves,5,7,6,6,0,2,1,2,7.0
